Constituency Code,Constituency Name,ID,COMPANY,Company type,Note,website,Percentage of constituency's properties in this area
E14000770,Kingston and Surbiton,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000770,Kingston and Surbiton,SES,SES Water,regional water only company,,https://seswater.co.uk/,0.0%
E14000771,Kingston upon Hull East,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000772,Kingston upon Hull North,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000772,Kingston upon Hull North,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.0%
E14000773,Kingston upon Hull West and Hessle,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000774,Kingswood,BRL,Bristol Water,regional water only company,,https://www.bristolwater.co.uk/,98.0%
E14000774,Kingswood,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,2.0%
E14000774,Kingswood,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,0.0%
E14000775,Knowsley,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000776,Lancaster and Fleetwood,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000776,Lancaster and Fleetwood,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,0.0%
E14000777,Leeds Central,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000778,Leeds East,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000779,Leeds North East,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000780,Leeds North West,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,99.9%
E14000780,Leeds North West,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.1%
E14000781,Leeds West,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000782,Leicester East,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000783,Leicester South,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000784,Leicester West,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000785,Leigh,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
